EnrollmentID,NAME OF STUDENT,IA-1 (30),IA-2 (30),IA-3 (30),Assignment %
22ece0104,Sandeep Yadav,15,17,13,58
22ece0105,Ramya Bhandari,20,28,25,100
22ece0106,Joseph Joshi,19,20,15,68
22ece0107,Manoj Pandey,23,27,25,91
22ece0108,Ishita Kamath,24,24,20,70
22ece0109,Nikhil Ghosh,29,29,24,100
22ece0110,Thomas Iyer,18,20,18,66
22ece0111,Shweta Sequeira,22,17,17,78
22ece0112,Ajay Agarwal,AB,24,24,88
22ece0113,Naveen Pandey,23,26,22,96
 22ece0114 ,Sneha Shetty,29,18,21,87
22ece0115,Madhuri Das,30,22,26,79
22ece0116,Nandini Wadhwa,18,21,16,93
22ece0117,Bhavana Joshi,28,30,25,100
22ece0118,Meera Rao,25,24,,99
22ece0119,Karthik Sharma,19,20,22,64
22ece0120,Varsha Chopra,27,21,18,100
